city_label,total_reports,mean_sentiment,neg_reports,mean_ndvi,mean_ndwi,risk_score
"Kerala, Kerala, India",3988,-2.29144787118257,585,0.2647817245148008,-0.16311209971036458,0.5129885268944395
"Chittur, Kerala, India",3,-6.41025641025641,3,0.2647817245148008,-0.16311209971036458,0.20205128205128206
"Vazhakkad, Kerala, India",1,-6.1878453038674,1,0.2647817245148008,-0.16311209971036458,0.19598523735635767
"Muttam, Kerala, India",2,-5.69306930693069,2,0.2647817245148008,-0.16311209971036458,0.18621665777173188
"State Of Kerala, Kerala, India",3,-5.091713733522294,1,0.2647817245148008,-0.16311209971036458,0.17282902075914594
"Kalady, Kerala, India",5,-4.9538329616816,3,0.2647817245148008,-0.16311209971036458,0.171283755830102
"Guruvayur, Kerala, India",6,-4.60921843687375,0,0.2647817245148008,-0.16311209971036458,0.16195235449853743
"Kuttampuzha, Kerala, India",1,-4.55218356772761,0,0.2647817245148008,-0.16311209971036458,0.16074747014042534
"Munnar, Kerala, India",47,-4.032937161892859,12,0.2647817245148008,-0.16311209971036458,0.15798331092958426
"Thiruvanan-Thapuram, Kerala, India",2,-4.37262357414449,0,0.2647817245148008,-0.16311209971036458,0.15695419366149355
"Edavanna, Kerala, India",1,-4.27046263345196,0,0.2647817245148008,-0.16311209971036458,0.15479600304418809
"Sabarimala, Kerala, India",27,-3.921070711468375,10,0.2647817245148008,-0.16311209971036458,0.15425256618079033
"Periyar River, Kerala, India",73,-3.6108696334251134,19,0.2647817245148008,-0.16311209971036458,0.15385329084248128
"Neyyattinkara, Kerala, India",6,-4.091889581968527,2,0.2647817245148008,-0.16311209971036458,0.1523910974782588
"Pathanamthitta, Kerala, India",156,-3.176154191619257,29,0.2647817245148008,-0.16311209971036458,0.1515073605929849
"Aluva, Kerala, India",173,-2.8177708846620293,36,0.2647817245148008,-0.16311209971036458,0.14872269508467398
"Sultan Bathery, Kerala, India",6,-3.96634615384615,0,0.2647817245148008,-0.16311209971036458,0.14837142112076393
"Idukki, Kerala, India",226,-3.039170763138068,27,0.2647817245148008,-0.16311209971036458,0.14724600966525808
"Ponmudi, Kerala, India",4,-3.697812936559505,0,0.2647817245148008,-0.16311209971036458,0.14269854980561889
"Cochin, Kerala, India",220,-2.4577152398570736,35,0.2647817245148008,-0.16311209971036458,0.1404326153022605
"Aranmula, Kerala, India",8,-3.52302618339509,2,0.2647817245148008,-0.16311209971036458,0.14037363130178038
"Kozhikode, Kerala, India",138,-2.7035275846991946,27,0.2647817245148008,-0.16311209971036458,0.14015541365509104
"Palakkad, Kerala, India",75,-3.034127543374589,12,0.2647817245148008,-0.16311209971036458,0.1368830593799408
"Alappuzha, Kerala, India",140,-2.5479834774252326,26,0.2647817245148008,-0.16311209971036458,0.13618572166901252
"Peermade, Kerala, India",2,-3.37922403003754,0,0.2647817245148008,-0.16311209971036458,0.13596823209150652
"Shoranur, Kerala, India",2,-3.3233695923606303,1,0.2647817245148008,-0.16311209971036458,0.1354720455027379
"Veli, Kerala, India",1,-3.33839150227618,0,0.2647817245148008,-0.16311209971036458,0.13510562865717973
"Mavelikara, Kerala, India",12,-3.283489061164564,0,0.2647817245148008,-0.16311209971036458,0.13394579269178009
"Chengannur, Kerala, India",186,-2.7180888535770484,17,0.2647817245148008,-0.16311209971036458,0.13362541943004647
"Irinjalakuda, Kerala, India",5,-3.191324085750314,0,0.2647817245148008,-0.16311209971036458,0.13199877082770117
"Kasaragod, Kerala, India",37,-2.9031844629523715,6,0.2647817245148008,-0.16311209971036458,0.13001427047900843
"Achankovil, Kerala, India",47,-3.060482896590466,0,0.2647817245148008,-0.16311209971036458,0.1292346985228881
"Angamali, Kerala, India",2,-3.01121826412123,0,0.2647817245148008,-0.16311209971036458,0.12819396351360407
"Thiruvananthapuram, Kerala, India",542,-1.9135355460064165,32,0.2647817245148008,-0.16311209971036458,0.1268853201814499
"Panamaram, Kerala, India",1,-2.92479108635098,0,0.2647817245148008,-0.16311209971036458,0.12636815491317888
"Thrissur, Kerala, India",121,-2.5550653253187807,11,0.2647817245148008,-0.16311209971036458,0.12607891827382958
"Vandiperiyar, Kerala, India",19,-2.8642567063600963,0,0.2647817245148008,-0.16311209971036458,0.12508934199275046
"Paravoor, Kerala, India",11,-2.76884903049755,0,0.2647817245148008,-0.16311209971036458,0.12307381678840468
"Nilambur, Kerala, India",3,-2.6473627585817936,0,0.2647817245148008,-0.16311209971036458,0.12050737084142467
"Kollam, Kerala, India",43,-2.444829973526134,6,0.2647817245148008,-0.16311209971036458,0.12033134908288742
"Konni, Kerala, India",8,-2.4181025322767726,0,0.2647817245148008,-0.16311209971036458,0.11566415712413942
"Kerala, Konar, Afghanistan",51,-2.042677575365056,9,0.2647817245148008,-0.16311209971036458,0.11388700133128538
"Ernakulam, Kerala, India",184,-2.1682751200066717,4,0.2647817245148008,-0.16311209971036458,0.11312149613550784
"Kannur, Kerala, India",47,-2.056055274057206,7,0.2647817245148008,-0.16311209971036458,0.11280208918410617
"Alwaye, Kerala, India",1,-2.2140221402214,0,0.2647817245148008,-0.16311209971036458,0.11135287744793208
"Kottayam, Kerala, India",74,-1.8314468078412967,11,0.2647817245148008,-0.16311209971036458,0.11079218848902253
"Kalpetta, Kerala, India",2,-2.173405951021935,0,0.2647817245148008,-0.16311209971036458,0.11049484425200831
"Paravur, Kerala, India",29,-1.9534334026797167,0,0.2647817245148008,-0.16311209971036458,0.10584783643592169
"Trivandrum, Kerala, India",62,-1.636003691297406,7,0.2647817245148008,-0.16311209971036458,0.10392833196778484
